target,n_estimators,min_samples_leaf,fold,n_fold_train,n_fold_validation,fit_seconds,nodes_total,leaves_total,mean_tree_depth,r2,mae,rmse
target_frontier_gap_ev,200,2,5,1756,438,0.8990219139959663,303976,152088,25.715,0.9741895061143877,0.03792814796423137,0.0590114632699909
target_frontier_gap_ev,200,3,1,1755,439,0.7262389410752803,191746,95973,22.875,0.9768898453085242,0.03790748210805577,0.05457275499722106
target_frontier_gap_ev,200,3,2,1755,439,0.7240363099845126,191692,95946,22.525,0.9743904313073576,0.040996331956647564,0.0577462307680188
target_frontier_gap_ev,200,3,3,1755,439,0.7269944640574977,191416,95808,22.445,0.966409766778542,0.040156737334128854,0.06792288425108568
target_frontier_gap_ev,200,3,4,1755,439,0.725732902996242,191624,95912,22.715,0.9788806962461198,0.037663441123404494,0.05302036512336379
target_frontier_gap_ev,200,3,5,1756,438,0.7297560499282554,191894,96047,22.98,0.9690293949563995,0.04051295512413769,0.0646417449259446
target_frontier_gap_ev,200,5,1,1755,439,0.5768311499850824,108872,54536,19.835,0.9712031065052183,0.0421115219131317,0.06091822949296814
target_frontier_gap_ev,200,5,2,1755,439,0.5857712830184028,108852,54526,19.55,0.9685030332828575,0.04529144553638579,0.06404081875377159
target_frontier_gap_ev,200,5,3,1755,439,0.5858646939741448,108984,54592,19.3,0.9588740760438034,0.0443764122545987,0.07515665519201092
target_frontier_gap_ev,200,5,4,1755,439,0.5713049959158525,108996,54598,19.83,0.9741190313567903,0.04212286148065114,0.05869392856619989
target_frontier_gap_ev,200,5,5,1756,438,0.5706359220203012,108860,54530,19.635,0.9582176675323733,0.0449254317781175,0.07508178110689132
target_frontier_gap_ev,200,10,1,1755,439,0.43433031905442476,51358,25779,15.82,0.9612284225192365,0.048580788021197426,0.07068563897430251
target_frontier_gap_ev,200,10,2,1755,439,0.43281983106862754,51554,25877,15.53,0.9561488177292712,0.05169103744465681,0.07556369099058104
target_frontier_gap_ev,200,10,3,1755,439,0.4370544170960784,51598,25899,15.525,0.944386481810846,0.05211727931936213,0.08739765795323756
target_frontier_gap_ev,200,10,4,1755,439,0.4331011219182983,51470,25835,15.8,0.9648863132905222,0.04908972906918235,0.06836615115013044
target_frontier_gap_ev,200,10,5,1756,438,0.43391702498774976,51424,25812,16.065,0.9408567668648123,0.051339187027010194,0.08932864724973262
target_frontier_gap_ev,300,1,1,1755,439,2.1430640319595113,1051010,525655,30.216666666666665,0.9815050286490661,0.034651460136674424,0.04882039445121101
target_frontier_gap_ev,300,1,2,1755,439,2.1170334549387917,1050668,525484,29.916666666666668,0.977928212144563,0.0370475261958993,0.05360943949369502
target_frontier_gap_ev,300,1,3,1755,439,2.118580618989654,1051526,525913,29.58,0.9776600624332231,0.035677485952923145,0.055392451646629315
target_frontier_gap_ev,300,1,4,1755,439,2.124017491005361,1049950,525125,30.016666666666666,0.9811840106687915,0.03514262870159488,0.050045662750049076
target_frontier_gap_ev,300,1,5,1756,438,2.13003960007336,1051362,525831,30.746666666666666,0.9786171237215149,0.036215799847793335,0.05371199553777266
target_frontier_gap_ev,300,2,1,1755,439,1.3474019870627671,455982,228141,25.593333333333334,0.979636279054398,0.03579380798532021,0.05122748338122511
target_frontier_gap_ev,300,2,2,1755,439,1.3396518119843677,455814,228057,24.886666666666667,0.9765596115985155,0.03860913263730708,0.055246518074374654
target_frontier_gap_ev,300,2,3,1755,439,1.3422690159641206,455434,227867,25.126666666666665,0.9714342007702819,0.03759583767400668,0.06263726688881725
target_frontier_gap_ev,300,2,4,1755,439,1.338855665992014,455798,228049,25.25,0.9806526806309159,0.03587611607188029,0.05074734388452211
target_frontier_gap_ev,300,2,5,1756,438,1.3541438539978117,456026,228163,25.64,0.9747689933758199,0.03775225055809232,0.0583452513436156
target_frontier_gap_ev,300,3,1,1755,439,1.096886288956739,287592,143946,22.93,0.9768149679714864,0.03789565623711895,0.054661091879487624
target_frontier_gap_ev,300,3,2,1755,439,1.1217207319568843,287554,143927,22.626666666666665,0.9743459355624002,0.04106350274342857,0.05779637504159259
target_frontier_gap_ev,300,3,3,1755,439,1.1209649159573019,287088,143694,22.57,0.9668607915036882,0.03989728122868229,0.06746533410661533
target_frontier_gap_ev,300,3,4,1755,439,1.0840536690084264,287294,143797,22.803333333333335,0.9789459780674662,0.03776268597299516,0.05293835614798493
target_frontier_gap_ev,300,3,5,1756,438,1.0857560920994729,287830,144065,23.026666666666667,0.969359294201097,0.040377938786511657,0.0642965408764547
target_frontier_gap_ev,300,5,1,1755,439,0.864129159017466,163248,81774,19.856666666666666,0.9716161293200237,0.04189713010365384,0.06047978829901921
target_frontier_gap_ev,300,5,2,1755,439,0.8601102840621024,163222,81761,19.553333333333335,0.9686554607760948,0.045293506870181965,0.06388567015880338
target_frontier_gap_ev,300,5,3,1755,439,0.8573309989878908,163552,81926,19.286666666666665,0.9587351152622265,0.04433204465847258,0.07528352188858835
target_frontier_gap_ev,300,5,4,1755,439,0.8572286389535293,163558,81929,19.843333333333334,0.9740886693155375,0.04207227706528226,0.05872834661980816
target_frontier_gap_ev,300,5,5,1756,438,0.8584652229910716,163120,81710,19.9,0.957905987327452,0.04503799998329445,0.07536130146866224
target_frontier_gap_ev,300,10,1,1755,439,0.6492127639940009,77100,38700,15.843333333333334,0.9615446317903477,0.04838849475190552,0.07039680349799844
target_frontier_gap_ev,300,10,2,1755,439,0.65567304904107,77260,38780,15.613333333333333,0.9560505805456735,0.051753992372519216,0.07564828405094429
target_frontier_gap_ev,300,10,3,1755,439,0.6555991049390286,77344,38822,15.533333333333333,0.9448216754853542,0.052064322587047886,0.08705502894355142
target_frontier_gap_ev,300,10,4,1755,439,0.6450404219795018,77180,38740,15.886666666666667,0.9653470574424254,0.048977643778201324,0.06791613692016968
target_frontier_gap_ev,300,10,5,1756,438,0.6463894719490781,77282,38791,16.023333333333333,0.9411544576284987,0.051353528467509006,0.08910355083010246
target_frontier_gap_ev,500,1,1,1755,439,3.5831690500490367,1751614,876057,30.138,0.981615130911476,0.03457782824601366,0.0486748613898819
target_frontier_gap_ev,500,1,2,1755,439,3.56839869893156,1751082,875791,29.974,0.9780466228779949,0.03700089567198117,0.053465444139680234
target_frontier_gap_ev,500,1,3,1755,439,3.5609632290434092,1752614,876557,29.526,0.9781182933808511,0.035748266970387764,0.05482141048368626
target_frontier_gap_ev,500,1,4,1755,439,3.5528115070192143,1749868,875184,29.96,0.9811093464339969,0.035127510706150195,0.05014485821455488
target_frontier_gap_ev,500,1,5,1756,438,3.5590332850115374,1752312,876406,30.62,0.9790506416880318,0.035957143378995436,0.053164727070169684
target_frontier_gap_ev,500,2,1,1755,439,2.24377442302648,759946,380223,25.566,0.9797109661754793,0.03585425428029106,0.051133454695218294
target_frontier_gap_ev,500,2,2,1755,439,2.239332486060448,759382,379941,24.978,0.9766158535858861,0.03862767363705384,0.055180200060205756
target_frontier_gap_ev,500,2,3,1755,439,2.2403524620458484,758960,379730,25.078,0.9714325561881564,0.03752108960516312,0.06263906993038595
target_frontier_gap_ev,500,2,4,1755,439,2.2315811529988423,759752,380126,25.254,0.9805257544314548,0.03599543978739573,0.05091353325985334
target_frontier_gap_ev,500,2,5,1756,438,2.2408696189522743,759748,380124,25.586,0.9745347070549811,0.03780592887366817,0.05861551222578778
target_frontier_gap_ev,500,3,1,1755,439,1.8129910520510748,479088,239794,22.966,0.9769115969845171,0.03781398170318544,0.05454706654230079
target_frontier_gap_ev,500,3,2,1755,439,1.8126190130133182,479352,239926,22.562,0.9744490260470793,0.041078938175145546,0.05768013119689849
target_frontier_gap_ev,500,3,3,1755,439,1.8059218910057098,478670,239585,22.43,0.9672451374511274,0.039757054600100955,0.06707296428672749
target_frontier_gap_ev,500,3,4,1755,439,1.8101575040491298,478906,239703,22.768,0.9790192495968054,0.03778624446444205,0.05284615868099506
target_frontier_gap_ev,500,3,5,1756,438,1.832265569944866,479636,240068,23.046,0.9698584899781988,0.04041120113684155,0.06377063317719961
target_frontier_gap_ev,500,5,1,1755,439,1.4498519320040941,272242,136371,19.948,0.9716338179796631,0.041832897807608134,0.06046094003958788
target_frontier_gap_ev,500,5,2,1755,439,1.4269640010315925,271872,136186,19.488,0.9684930901454398,0.04543615402755194,0.06405092633683414
target_frontier_gap_ev,500,5,3,1755,439,1.432168549974449,272522,136511,19.32,0.9591102590084439,0.044220710989046584,0.07494053505876141
target_frontier_gap_ev,500,5,4,1755,439,1.4238377240253612,272530,136515,19.83,0.9739783952701259,0.04221106221892363,0.05885318267435638
target_frontier_gap_ev,500,5,5,1756,438,1.4247043950017542,272114,136307,19.918,0.9577874745440254,0.045132285466673326,0.07546731417116084
